Format Version,1.24,Take Name,Take 2026-08-04 03.39.02 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.39.03.026 ,Capture Start Frame,964696,Total Frames in Take,8024,Total Exported Frames,8024,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1237,Unlabeled 1237,Unlabeled 1237
,ID,,"253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C9560900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955E900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","253C955F900A11F1794CD665D3A07481","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1","5B7FB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,15:40:09:06.01,-92.021469,311.561035,134.112671,-92.192719,318.431244,134.554718,-92.020348,313.829193,137.267746,,,
1,0.008333,15:40:09:06.02,-92.020226,311.560150,134.111542,-92.194405,318.430420,134.558426,-92.021576,313.831268,137.267487,,,
2,0.016667,15:40:09:06.03,-92.021202,311.560272,134.112137,-92.194687,318.430420,134.557953,-92.020416,313.829926,137.266541,,,
3,0.025000,15:40:09:07.00,-92.021317,311.560120,134.112900,-92.196945,318.431091,134.557785,-92.021339,313.830139,137.268097,,,
4,0.033333,15:40:09:07.01,-92.021576,311.560211,134.112213,-92.193260,318.430603,134.554764,-92.019760,313.829529,137.267578,,,
5,0.041667,15:40:09:07.02,-92.021919,311.561310,134.113113,-92.193001,318.430817,134.555069,-92.020432,313.829590,137.267654,,,
6,0.050000,15:40:09:07.03,-92.020645,311.561737,134.112518,-92.192307,318.430481,134.555206,-92.021790,313.830383,137.267807,,,
7,0.058333,15:40:09:08.00,-92.020050,311.560883,134.112305,-92.195885,318.430573,134.558167,-92.020622,313.830322,137.267441,,,
8,0.066667,15:40:09:08.01,-92.020111,311.561188,134.112381,-92.193550,318.431641,134.555405,-92.021606,313.829651,137.267822,,,
9,0.075000,15:40:09:08.02,-92.020920,311.561432,134.113068,-92.192055,318.431335,134.555130,-92.020760,313.830414,137.267273,,,
