Format Version,1.24,Take Name,Take 2026-08-04 03.46.00 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-04 03.46.01.395 ,Capture Start Frame,1014900,Total Frames in Take,7858,Total Exported Frames,7858,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 001,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 002,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Oak-D-Kamera:Marker 003,Unlabeled 1257,Unlabeled 1257,Unlabeled 1257
,ID,,"1E2B512B900B11F1794CD665D3A07481","1E2B512B900B11F1794CD665D3A07481","1E2B512B900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B5129900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","1E2B512A900B11F1794CD665D3A07481","5BDFB6146D28FE711F1","5BDFB6146D28FE711F1","5BDFB6146D28FE711F1"
,,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),TimeCode,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,15:47:07:17.02,-92.020638,311.554474,134.106201,-92.189209,318.421722,134.556259,-92.019836,313.824493,137.263306,,,
1,0.008333,15:47:07:17.03,-92.019165,311.553986,134.105988,-92.190041,318.421661,134.556183,-92.019196,313.824463,137.262543,,,
2,0.016667,15:47:07:18.00,-92.019203,311.554993,134.106140,-92.190132,318.421906,134.555603,-92.022339,313.824524,137.262375,,,
3,0.025000,15:47:07:18.01,-92.018105,311.554535,134.104889,-92.189194,318.421783,134.555939,-92.022186,313.824982,137.261932,,,
4,0.033333,15:47:07:18.02,-92.018982,311.554382,134.106277,-92.189507,318.421722,134.555588,-92.022011,313.824646,137.263733,,,
5,0.041667,15:47:07:18.03,-92.016335,311.554871,134.104935,-92.189865,318.421570,134.556396,-92.020874,313.824585,137.263000,,,
6,0.050000,15:47:07:19.00,-92.017540,311.554688,134.105881,-92.190483,318.421417,134.556107,-92.021431,313.824310,137.262573,,,
7,0.058333,15:47:07:19.01,-92.020050,311.555115,134.105942,-92.189682,318.422516,134.555344,-92.020714,313.825134,137.263092,,,
8,0.066667,15:47:07:19.02,-92.019218,311.554169,134.105026,-92.189079,318.420044,134.556442,-92.020973,313.824402,137.262955,,,
9,0.075000,15:47:07:19.03,-92.017731,311.554535,134.105301,-92.189438,318.421661,134.556198,-92.022095,313.824615,137.262970,,,
10,0.083333,15:47:07:20.00,-92.018967,311.555237,134.106598,-92.189552,318.421112,134.556213,-92.021133,313.824890,137.262512,,,
11,0.091667,15:47:07:20.01,-92.018105,311.555115,134.105377,-92.190468,318.421936,134.555328,-92.022118,313.824188,137.262344,,,
12,0.100000,15:47:07:20.02,-92.018196,311.555420,134.106796,-92.189583,318.421509,134.555634,-92.022110,313.825409,137.262772,,,
